Date,Ticker,prediction,actual_target,actual_return,portfolio_side
2025-09-18,XOM,-0.11696363985538483,-1.3669893,-0.009742893,SHORT
2025-09-19,NVDA,-0.0025693029165267944,1.6130035,0.039282385,LONG
2025-09-19,AAPL,-0.005858123302459717,1.7791129,0.043095596,LONG
2025-09-19,TSLA,-0.11249120533466339,0.73403645,0.019104805,SHORT
2025-09-19,XOM,-0.12662135064601898,-0.4070908,-0.0070909318,SHORT
2025-09-22,NVDA,-0.006352514028549194,-1.3219887,-0.028211962,LONG
2025-09-22,AAPL,-0.012319624423980713,0.1918829,-0.0064432146,LONG
2025-09-22,TSLA,-0.12458031624555588,-0.69897497,-0.019253323,SHORT
2025-09-22,XOM,-0.12747743725776672,1.8381338,0.017229086,SHORT
2025-09-23,NVDA,-0.010412529110908508,-0.6708275,-0.008182577,LONG
2025-09-23,AAPL,-0.016666918992996216,-0.68064946,-0.008332292,LONG
2025-09-23,XOM,-0.12858587503433228,0.21718444,0.0053532314,SHORT
2025-09-23,TSLA,-0.13595402240753174,2.4756925,0.039779272,SHORT
2025-09-24,NVDA,-0.012488871812820435,0.59644806,0.004068647,LONG
2025-09-24,AAPL,-0.023557037115097046,1.4392182,0.018072987,LONG
2025-09-24,XOM,-0.12590694427490234,0.8926684,0.008990951,SHORT
2025-09-24,TSLA,-0.14051656424999237,-2.2850363,-0.04381308,SHORT
2025-09-25,NVDA,-0.011173278093338013,-0.28957367,0.0028138305,LONG
2025-09-25,AAPL,-0.02947983145713806,-0.8984271,-0.0054891775,LONG
2025-09-25,XOM,-0.12216555327177048,0.53814924,0.014101586,SHORT
2025-09-25,TSLA,-0.14622707664966583,2.4501429,0.040175673,SHORT
2025-09-26,NVDA,-0.015323445200920105,1.5937793,0.020539919,LONG
2025-09-26,AVGO,-0.035151541233062744,-1.2952048,-0.01981893,LONG
2025-09-26,XOM,-0.11644303798675537,-1.7085171,-0.025592865,SHORT
2025-09-26,TSLA,-0.14333096146583557,0.58021796,0.0063805575,SHORT
2025-09-29,NVDA,-0.014480099081993103,2.209035,0.026010329,LONG
2025-09-29,AVGO,-0.019919514656066895,0.51133704,0.0061299526,LONG
2025-09-29,XOM,-0.1174667552113533,-1.1111745,-0.012869977,SHORT
2025-09-29,TSLA,-0.14355060458183289,0.2788074,0.003406985,SHORT
2025-09-30,AVGO,-0.009439736604690552,0.5538839,0.010548318,LONG
2025-09-30,NVDA,-0.015905022621154785,0.09329616,0.0035374076,LONG
2025-09-30,XOM,-0.1192726343870163,-0.58192515,-0.0067405812,SHORT
2025-09-30,TSLA,-0.14301751554012299,2.0383549,0.03314443,SHORT
2025-10-01,AVGO,-0.0005255043506622314,0.85088825,0.014367465,LONG
2025-10-01,GOOGL,-0.016702622175216675,0.27355602,0.0032258602,LONG
2025-10-01,XOM,-0.12083405256271362,-0.21748959,-0.0062505496,SHORT
2025-10-01,TSLA,-0.1440141648054123,-2.5394075,-0.051059924,SHORT
2025-10-02,AVGO,0.004227399826049805,0.25839877,0.0005619015,LONG
2025-10-02,GOOGL,-0.009249091148376465,0.09457329,-0.0013837058,LONG
2025-10-02,XOM,-0.1232936903834343,1.7016063,0.017701576,SHORT
2025-10-02,TSLA,-0.14537861943244934,-0.98050225,-0.014151407,SHORT
2025-10-03,AVGO,0.007685348391532898,-0.9414705,-0.008511401,LONG
