factor,mean_ic,ic_std,icir,fold
momentum_20,0.0916466249799583,0.3787340634768827,0.24198146884021238,11
volatility_10,0.04024370691037357,0.380538496092695,0.10575462751755514,12
volatility_20,0.04798781465448133,0.37855791793609644,0.12676478916650755,12
volatility_60,0.038351771685105014,0.37056077931406844,0.10349657553100083,12
beta_60,0.04482924482924482,0.4012253837528232,0.11173082921608493,12
price_ma200_ratio,0.0883918550585217,0.42723121288041127,0.20689465655512387,12
return_60d,0.15377585377585376,0.4065936404286123,0.3782052606965282,12
momentum_20,0.09611992945326277,0.3774076487133783,0.25468463551532555,12
volatility_10,0.06100689434022767,0.37894492064663865,0.1609914555290103,13
volatility_20,0.08279621612954946,0.371265040213101,0.22301107608199677,13
volatility_60,0.07453904120570787,0.35601570174041136,0.20937009474952306,13
beta_60,0.06277056277056275,0.3859093319833095,0.16265624479191804,13
price_ma200_ratio,0.0905403238736572,0.44398725449323784,0.20392550226920123,13
return_60d,0.1746993746993747,0.4097164527784121,0.4263909186821398,13
momentum_20,0.0914542247875581,0.38514147276348915,0.2374561849477038,13
volatility_10,0.03747648212641607,0.3941627785684308,0.09507869378871288,14
volatility_20,0.06038989632120409,0.3909453219266781,0.15447146425384323,14
volatility_60,0.04719586886033386,0.38068288261166217,0.1239768610990549,14
beta_60,0.06389656138665384,0.40942906437372595,0.15606259288014102,14
price_ma200_ratio,0.08959609303070334,0.4432659870700243,0.20212715535187123,14
return_60d,0.156110644089508,0.4176296252765754,0.3738016525674482,14
momentum_20,0.07580961530763379,0.38174877364177295,0.19858509192952206,14
volatility_10,0.039333893759257034,0.4056298208423795,0.09696992612025308,15
volatility_20,0.05750770585645089,0.40427405188513416,0.14224931228777077,15
volatility_60,0.05257595772787318,0.3946191184538221,0.13323216050421938,15
beta_60,0.03770065249589687,0.42805407406784846,0.08807450922642347,15
price_ma200_ratio,0.1165125495376486,0.44021368541203876,0.2646727110007795,15
return_60d,0.16315599855890475,0.42513267208496897,0.3837766637853128,15
momentum_20,0.06958088146991713,0.3950963494634715,0.1761111727921703,15
volatility_10,0.0191905848444818,0.39222447285585504,0.048927555959860924,16
volatility_20,0.04112725671510348,0.4004031407459909,0.10271462066576027,16
volatility_60,0.05015812017133021,0.3706382758305951,0.13532903491666254,16
beta_60,0.02389816260357872,0.4402130637298866,0.054287717863462946,16
price_ma200_ratio,0.11627236699891917,0.4325968051630437,0.2687776830785809,16
return_60d,0.14259637324366517,0.43999459364537913,0.3240866485704892,16
momentum_20,0.06426484127937232,0.38549660231886884,0.16670663474801464,16
volatility_10,-0.02716049382716049,0.3790350381755189,-0.071656947489333,17
volatility_20,-0.020298220298220305,0.3892317744288544,-0.05214944316405111,17
volatility_60,-0.005755972422639085,0.3594397001680375,-0.016013735878224293,17
beta_60,-0.04550264550264549,0.4359913764543332,-0.10436593006194825,17
price_ma200_ratio,0.13350970017636682,0.4273820558182342,0.31238957826799485,17
return_60d,0.1190796857463524,0.4370524591720088,0.2724608528045983,17
momentum_20,0.06030142696809363,0.3821161641523009,0.15780914974342503,17
volatility_10,-0.037832630945213726,0.38664794989197987,-0.09784774742962753,18
volatility_20,-0.03401163957455347,0.400705334042692,-0.08487942806104448,18
volatility_60,-0.015163556090708411,0.36840143134673803,-0.041160415786866286,18
beta_60,-0.03601846277342966,0.444029718346696,-0.08111723446696566,18
price_ma200_ratio,0.07652418221954645,0.42298403687514335,0.18091505954900822,18
return_60d,0.07246237206502104,0.42687583687542313,0.16975046560475154,18
momentum_20,0.03470198675496689,0.3797390033769443,0.0913837831941648,18
volatility_10,-0.03306441902468392,0.38508630674089533,-0.08586235980323044,19
volatility_20,-0.028842063014248447,0.4004810205654665,-0.07201855152467493,19
volatility_60,-0.0033634356813164734,0.3788919055852537,-0.008877032292682942,19
