factor,mean_ic,ic_std,icir,positive_pct,abs_ic,fold
price_ma20_ratio,0.062170619235836624,0.3690383440176742,0.1684665570493106,55.70652173913043,0.062170619235836624,9
rsi_14,0.0589262187088274,0.3432626529397254,0.17166510310451527,56.1141304347826,0.0589262187088274,9
volatility_10,0.049835309617918294,0.3559326528971268,0.14001331210351728,54.483695652173914,0.049835309617918294,9
return_10d,0.046590909090909086,0.3750517789380769,0.12422527156870651,54.891304347826086,0.046590909090909086,9
momentum_10,0.046590909090909086,0.3750517789380769,0.12422527156870651,54.891304347826086,0.046590909090909086,9
volatility_20,0.04632740447957839,0.35698071328770237,0.12977565105104608,54.07608695652174,0.04632740447957839,9
macd_hist,-0.027700922266139662,0.33564382252918684,-0.082530707871827,45.65217391304348,0.027700922266139662,9
momentum_5,0.016749011857707507,0.36441796466631926,0.04596099391818898,53.66847826086957,0.016749011857707507,9
return_5d,0.016749011857707507,0.36441796466631926,0.04596099391818898,53.66847826086957,0.016749011857707507,9
volume_ratio_20,0.013982213438735175,0.3550660929308441,0.039379185219633114,50.40760869565217,0.013982213438735175,9
volume_change,-0.012549407114624503,0.3564125692699259,-0.035210338233386825,49.59239130434783,0.012549407114624503,9
return_1d,0.009914361001317519,0.3823282521953191,0.025931541664497747,52.309782608695656,0.009914361001317519,9
relative_strength_1d,0.009914361001317519,0.3823282521953191,0.025931541664497747,52.309782608695656,0.009914361001317519,9
return_60d,0.14533119526335264,0.38776868024967487,0.37478837942707854,62.68656716417911,0.14533119526335264,10
price_ma200_ratio,0.14223921713745322,0.4064189299516323,0.3499817716521743,62.822252374491185,0.14223921713745322,10
price_ma50_ratio,0.12057892356399816,0.38522235499404,0.31301123104827006,59.972862957937586,0.12057892356399816,10
momentum_20,0.10179680111837505,0.36978372373184626,0.2752874033801293,59.56580732700135,0.10179680111837505,10
relative_strength_20d,0.10179680111837505,0.36978372373184626,0.2752874033801293,59.56580732700135,0.10179680111837505,10
return_20d,0.10179680111837505,0.36978372373184626,0.2752874033801293,59.56580732700135,0.10179680111837505,10
macd_signal,0.09433000287817112,0.3429459854934387,0.2750579008599471,60.92265943012212,0.09433000287817112,10
macd,0.08163315653139261,0.3461468200448331,0.23583390574213406,59.972862957937586,0.08163315653139261,10
price_ma20_ratio,0.0717158011594918,0.3758338350849065,0.19081784146254457,56.852103120759836,0.0717158011594918,10
rsi_14,0.06946260433370337,0.3463798447957216,0.20053881707427035,57.6662143826323,0.06946260433370337,10
return_10d,0.05674931129476583,0.3772452478109894,0.15043081821192048,55.76662143826323,0.05674931129476583,10
momentum_10,0.05674931129476583,0.3772452478109894,0.15043081821192048,55.76662143826323,0.05674931129476583,10
volatility_10,0.04873977221331359,0.3685249798331528,0.1322563594885215,54.95251017639078,0.04873977221331359,10
volatility_60,0.048525965215246075,0.38258759332053194,0.1268362227694901,56.03799185888738,0.048525965215246075,10
volatility_20,0.043575510875375194,0.3706432282505115,0.11756726564534249,54.00271370420624,0.043575510875375194,10
beta_60,0.0317996792895029,0.3706659594095909,0.08579066537470688,52.78154681139756,0.0317996792895029,10
return_5d,0.02395460712964104,0.36204687592205875,0.06616438014727677,53.86702849389417,0.02395460712964104,10
momentum_5,0.02395460712964104,0.36204687592205875,0.06616438014727677,53.86702849389417,0.02395460712964104,10
volume_ratio_20,0.018560092101476088,0.3484528490278358,0.05326428569391159,50.88195386702849,0.018560092101476088,10
macd_hist,-0.01073146663377328,0.3388236791526112,-0.031672717386849666,47.4898236092266,0.01073146663377328,10
volume_change,-0.010682126557296164,0.3584232887005491,-0.02980310402268735,50.20352781546812,0.010682126557296164,10
return_1d,0.010534106327864808,0.38463409801889115,0.027387343925362097,52.645861601085485,0.010534106327864808,10
relative_strength_1d,0.010534106327864808,0.38463409801889115,0.027387343925362097,52.645861601085485,0.010534106327864808,10
return_60d,0.1417490118577075,0.4036470274761406,0.3511707066047606,63.45108695652174,0.1417490118577075,11
price_ma50_ratio,0.12325428194993411,0.3956384990038544,0.3115325790090346,60.190217391304344,0.12325428194993411,11
price_ma200_ratio,0.10685111989459815,0.41774878186815595,0.2557784116491356,59.10326086956522,0.10685111989459815,11
momentum_20,0.10344202898550724,0.37264566823073286,0.27758816968578987,60.190217391304344,0.10344202898550724,11
relative_strength_20d,0.10344202898550724,0.37264566823073286,0.27758816968578987,60.190217391304344,0.10344202898550724,11
return_20d,0.10344202898550724,0.37264566823073286,0.27758816968578987,60.190217391304344,0.10344202898550724,11
macd_signal,0.08642951251646902,0.35878951630130745,0.24089196754535736,58.559782608695656,0.08642951251646902,11
macd,0.07870553359683793,0.3561207720588555,0.22100798316766088,58.83152173913043,0.07870553359683793,11
price_ma20_ratio,0.07437417654808959,0.3809021121348954,0.19525797883144894,57.608695652173914,0.07437417654808959,11
