fold,scheme,train_start,train_end,validation_start,validation_end,test_start,test_end,validation_sharpe,validation_cagr,validation_max_dd,test_sharpe,test_cagr,test_max_dd,test_total_return,test_hit_rate,test_turnover,test_cost
17,ic_weighted,2019-10-16,2022-10-16,2022-10-16,2023-04-16,2023-04-16,2023-07-16,0.5091857459056146,-0.20259881334361207,-0.9663722572833079,8.94607039220153,56.598719301868876,-0.1609720077836243,1.7109246189259295,0.7903225806451613,1.0,0.062000000000000006
17,icir_weighted,2019-10-16,2022-10-16,2022-10-16,2023-04-16,2023-04-16,2023-07-16,0.5091857459056146,-0.20259881334361207,-0.9663722572833079,8.94607039220153,56.598719301868876,-0.1609720077836243,1.7109246189259295,0.7903225806451613,1.0,0.062000000000000006
18,equal_weight,2020-01-16,2023-01-16,2023-01-16,2023-07-16,2023-07-16,2023-10-16,11.946440506176442,24740.054604092238,-0.3766303057342516,-7.89329494490514,-0.9774732435833856,-0.5982171119346731,-0.6183741754220455,0.28125,1.0,0.064
18,ic_weighted,2020-01-16,2023-01-16,2023-01-16,2023-07-16,2023-07-16,2023-10-16,0.4054467810538931,0.01737377860305922,-0.573513433698815,-8.345590069611475,-0.9663926954459614,-0.6412259122986494,-0.5775639870278173,0.28125,1.0,0.064
18,icir_weighted,2020-01-16,2023-01-16,2023-01-16,2023-07-16,2023-07-16,2023-10-16,-0.03728387148969087,-0.26894111359397244,-0.6058609371789794,-8.25582633744047,-0.9725975508637438,-0.6617507031097358,-0.5989042164287589,0.3125,1.0,0.064
19,equal_weight,2020-04-16,2023-04-16,2023-04-16,2023-10-16,2023-10-16,2024-01-16,3.5659588152277513,10.928417531596974,-0.7414521948808184,4.081715896076077,8.26617959629903,-0.35805293301054786,0.7293713933723547,0.532258064516129,1.0,0.062000000000000006
19,ic_weighted,2020-04-16,2023-04-16,2023-04-16,2023-10-16,2023-10-16,2024-01-16,0.23056060949585902,-0.011581139662273254,-0.6638626930097572,8.516517470637243,255.07312674442062,-0.2486160860376917,2.913217626593257,0.6129032258064516,1.0,0.062000000000000006
19,icir_weighted,2020-04-16,2023-04-16,2023-04-16,2023-10-16,2023-10-16,2024-01-16,0.33542899716005925,0.04200013936532043,-0.6560585287485761,8.844097532608748,302.7019917646875,-0.21641011821433842,3.08094674432649,0.6290322580645161,1.0,0.062000000000000006
20,equal_weight,2020-07-16,2023-07-16,2023-07-16,2024-01-16,2024-01-16,2024-04-16,-1.2070908541887533,-0.564435924382918,-0.5982171119346731,4.617711249856951,18.95009113363953,-0.5626191197350863,1.113421985459767,0.5238095238095238,1.0,0.063
20,ic_weighted,2020-07-16,2023-07-16,2023-07-16,2024-01-16,2024-01-16,2024-04-16,0.24683938761567661,-0.036256748439581044,-0.7194053379581263,9.063834110086066,988.7387396771255,-0.4732873781667045,4.608931580265132,0.7142857142857143,1.0,0.063
20,icir_weighted,2020-07-16,2023-07-16,2023-07-16,2024-01-16,2024-01-16,2024-04-16,-0.6163296431664205,-0.40164837918013474,-0.7236042243434555,9.219337972663249,1629.6079394605235,-0.4732873781667044,5.354587851409948,0.7142857142857143,1.0,0.063
