Date,Ticker,prediction,position,portfolio_side,actual_return
2025-03-03,JPM,-0.0285655260086059,0.0,FLAT,-0.039789677
2025-03-03,AAPL,-0.0364367067813873,0.0,FLAT,-0.008822464
2025-03-03,TSLA,-0.0380578488111496,0.0,FLAT,-0.044299968
2025-03-03,MSFT,-0.0392206311225891,-0.5,SHORT,0.00030868672
2025-03-03,XOM,-0.1228819638490676,-0.5,SHORT,-0.0020415082
2025-03-04,GOOGL,0.0144917666912078,0.5,LONG,0.01228631
2025-03-04,NVDA,0.0069605708122253,0.5,LONG,0.011294168
2025-03-04,META,0.0068513602018356,0.0,FLAT,0.025734348
2025-03-04,AVGO,-0.0134428739547729,0.0,FLAT,0.021869004
2025-03-04,AMZN,-0.0210351794958114,0.0,FLAT,0.022374865
2025-03-04,JPM,-0.0280424803495407,0.0,FLAT,0.005114868
2025-03-04,AAPL,-0.0309136658906936,0.0,FLAT,-0.0008052118
2025-03-04,TSLA,-0.035654604434967,0.0,FLAT,0.025952056
2025-03-04,MSFT,-0.0381940305233001,-0.5,SHORT,0.031934448
2025-03-04,XOM,-0.1194643080234527,-0.5,SHORT,-0.019527659
2025-03-05,META,0.0091353207826614,0.5,LONG,-0.043475088
2025-03-05,GOOGL,0.0078497976064682,0.5,LONG,-0.0038723932
2025-03-05,NVDA,0.0063722133636474,0.0,FLAT,-0.05737428
2025-03-05,AVGO,-0.0156078934669494,0.0,FLAT,-0.063315585
2025-03-05,AMZN,-0.0256447494029998,0.0,FLAT,-0.03676331
2025-03-05,AAPL,-0.0272489190101623,0.0,FLAT,-0.0017392366
2025-03-05,JPM,-0.0282064378261566,0.0,FLAT,-0.019838564
2025-03-05,TSLA,-0.0384605675935745,0.0,FLAT,-0.05607307
2025-03-05,MSFT,-0.0437535643577575,-0.5,SHORT,-0.010298769
2025-03-05,XOM,-0.1161070019006729,-0.5,SHORT,0.020675207
2025-03-06,NVDA,0.0209162831306457,0.5,LONG,0.019173434
2025-03-06,META,0.011947363615036,0.5,LONG,-0.0036149793
2025-03-06,GOOGL,0.007525086402893,0.0,FLAT,0.008761249
