fold,test_start,test_end,horizon,feature,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
28,2026-01-16,2026-04-16,3,volatility_60,61,-0.04341778440139094,-0.05454545454545454,0.43011972241231006,-0.10094348652018083,42.62295081967213
28,2026-01-16,2026-04-16,3,price_ma50_ratio,61,-0.054942871336313946,-0.05454545454545454,0.3246582226864954,-0.16923295791392678,42.62295081967213
28,2026-01-16,2026-04-16,3,volume_ratio_20,61,0.013015399900645796,0.006060606060606061,0.33072965880339716,0.03935359153375121,54.09836065573771
28,2026-01-16,2026-04-16,3,rsi_14,61,-0.08514654744162943,-0.04242424242424241,0.2647461287303291,-0.32161583570636404,45.90163934426229
28,2026-01-16,2026-04-16,3,momentum_20,61,-0.06924987580725284,-0.06666666666666665,0.30624648624163103,-0.2261246378925442,37.704918032786885
28,2026-01-16,2026-04-16,5,price_ma200_ratio,61,-0.04282165921510183,0.006060606060606061,0.3908846110140303,-0.10955063977580022,50.81967213114754
28,2026-01-16,2026-04-16,5,return_60d,61,-0.06865375062096371,-0.11515151515151514,0.3166335032878176,-0.2168240249628857,36.0655737704918
28,2026-01-16,2026-04-16,5,beta_60,61,-0.04083457526080476,-0.006060606060606061,0.4017803989722232,-0.10163406518899851,47.540983606557376
28,2026-01-16,2026-04-16,5,volatility_10,61,-0.09190263288623945,-0.06666666666666665,0.34071384815906297,-0.26973553726332405,40.98360655737705
28,2026-01-16,2026-04-16,5,volatility_20,61,0.013412816691505212,0.0303030303030303,0.35818321070692466,0.037446804569742795,50.81967213114754
28,2026-01-16,2026-04-16,5,volatility_60,61,-0.05156482861400893,-0.09090909090909088,0.4185222197501989,-0.12320690797441089,39.34426229508197
28,2026-01-16,2026-04-16,5,price_ma50_ratio,61,-0.0801788375558867,-0.12727272727272726,0.31491131763861324,-0.25460767227139974,37.704918032786885
28,2026-01-16,2026-04-16,5,volume_ratio_20,61,0.07203179334326874,0.13939393939393938,0.364090790738251,0.19784019584019968,59.01639344262295
28,2026-01-16,2026-04-16,5,rsi_14,61,-0.1284649776453055,-0.10303030303030303,0.2586745894295902,-0.49662774348491995,27.86885245901639
28,2026-01-16,2026-04-16,5,momentum_20,61,-0.0913065076999503,-0.06666666666666665,0.3016125802742428,-0.3027277828296465,40.98360655737705
28,2026-01-16,2026-04-16,10,price_ma200_ratio,61,0.019175360158966717,0.0303030303030303,0.3481222185768575,0.05508226460625418,55.73770491803278
28,2026-01-16,2026-04-16,10,return_60d,61,-0.039244908097367116,-0.006060606060606061,0.27124537137723576,-0.1446841577354958,49.18032786885246
28,2026-01-16,2026-04-16,10,beta_60,61,-0.05732737208147043,-0.11515151515151514,0.3844761959273446,-0.14910512715409752,40.98360655737705
